symbol,name,exchange,index,isin
ADS.DE,Adidas,XETR,DAX,DE000A1EWWW0
AIR.DE,Airbus,XETR,DAX,NL0000235190
ALV.DE,Allianz,XETR,DAX,DE0008404005
BAS.DE,BASF,XETR,DAX,DE000BASF111
BAYN.DE,Bayer,XETR,DAX,DE000BAY0017
BEI.DE,Beiersdorf,XETR,DAX,DE0005200000
BMW.DE,BMW,XETR,DAX,DE0005190003
BNR.DE,Brenntag,XETR,DAX,DE000A1DAHH0
CBK.DE,Commerzbank,XETR,DAX,DE000CBK1001
CON.DE,Continental,XETR,DAX,DE0005439004
1COV.DE,Covestro,XETR,DAX,DE0006062144
DBK.DE,Deutsche Bank,XETR,DAX,DE0005140008
DB1.DE,Deutsche Boerse,XETR,DAX,DE0005810055
DHL.DE,DHL Group,XETR,DAX,DE0005552004
DTE.DE,Deutsche Telekom,XETR,DAX,DE0005557508
DTG.DE,Daimler Truck,XETR,DAX,DE000DTR0CK8
ENR.DE,Siemens Energy,XETR,DAX,DE000ENER6Y0
EOAN.DE,E.ON,XETR,DAX,DE000ENAG999
FME.DE,Fresenius Medical Care,XETR,DAX,DE0005785802
FRE.DE,Fresenius,XETR,DAX,DE0005785604
HEI.DE,HeidelbergCement,XETR,DAX,DE0006047004
HEN3.DE,Henkel,XETR,DAX,DE0006048432
HNR1.DE,Hannover Rueck,XETR,DAX,DE0008402215
IFX.DE,Infineon,XETR,DAX,DE0006231004
MBG.DE,Mercedes-Benz Group,XETR,DAX,DE0007100000
MRK.DE,Merck KGaA,XETR,DAX,DE0006599905
MTX.DE,MTU Aero Engines,XETR,DAX,DE000A0D9PT0
MUV2.DE,Munich Re,XETR,DAX,DE0008430026
P911.DE,Porsche AG,XETR,DAX,DE000PAG9113
PAH3.DE,Porsche Automobil Holding,XETR,DAX,DE000PAH0038
QIA.DE,Qiagen,XETR,DAX,NL0012169213
RHM.DE,Rheinmetall,XETR,DAX,DE0007030009
RWE.DE,RWE,XETR,DAX,DE0007037129
SAP.DE,SAP,XETR,DAX,DE0007164600
SHL.DE,Siemens Healthineers,XETR,DAX,DE000SHL1006
SIE.DE,Siemens,XETR,DAX,DE0007236101
SRT3.DE,Sartorius,XETR,DAX,DE0007165631
SY1.DE,Symrise,XETR,DAX,DE000SYM9999
VNA.DE,Vonovia,XETR,DAX,DE000A1ML7J1
VOW3.DE,Volkswagen,XETR,DAX,DE0007664039
ZAL.DE,Zalando,XETR,DAX,DE000ZAL1111
