HSICS Industry,HSICS Sector,HSICS Sub-sector,EM Industry (EN),EM Industry,Theme (EN),Theme (CN),Symbol,Name (EN),Name (CN),Board
,,,-,-,,,07836,,AQUILA ACQ-Z,Main Board
,,,-,-,,,00592,,BOSSINI INT'L,Main Board
,,,-,-,,,04621,,CINDA 21USDPREF,Main Board
,,,-,-,,,01821,,ESR,Main Board
,,,-,-,,,08215,,FIRST CREDIT,Main Board
,,,-,-,,,07801,,INTERRA ACQ-Z,Main Board
,,,-,-,,,00973,,L'OCCITANE,Main Board
,,,-,-,,,01383,,LET GROUP,Main Board
,,,-,-,,,01730,,LHN,Main Board
,,,-,-,,,08363,,SDM教育,Main Board
,,,-,-,,,01015,,STOCK1015,Main Board
,,,-,-,,,01016,,STOCK1016,Main Board
,,,-,-,,,01017,,STOCK1017,Main Board
,,,-,-,,,01018,,STOCK1018,Main Board
,,,-,-,,,08302,,STOCK8302,GEM
,,,-,-,,,08303,,STOCK8303,GEM
,,,-,-,,,08304,,STOCK8304,GEM
,,,-,-,,,07855,,TECHSTARACQ-Z,Main Board
,,,-,-,,,02148,,VESYNC,Main Board
,,,-,-,,,07827,,VISION DEAL-Z,Main Board
,,,-,-,,,06900,,上坤地产,Main Board
,,,-,-,,,01207,,上置集团,Main Board
,,,-,-,,,08001,,东方汇财证券,Main Board
,,,-,-,,,00668,,东银国际控股,Main Board
,,,-,-,,,01558,,东阳光长江药业,Main Board
,,,-,-,,,00489,,东风集团股份,Main Board
,,,-,-,,,08383,,东骏控股,Main Board
,,,-,-,,,00988,,丝路物流控股,Main Board
,,,-,-,,,08166,,中国农业生态,Main Board
,,,-,-,,,01387,,中国地利,Main Board
,,,-,-,,,03333,,中国恒大,Main Board
,,,-,-,,,08167,,中国新电信,Main Board
,,,-,-,,,01185,,中国航天万源,Main Board
,,,-,-,,,00802,,中国钱包,Main Board
,,,-,-,,,02341,,中怡国际,Main Board
,,,-,-,,,06819,,中智全球,Main Board
,,,-,-,,,00715,,中泛控股,Main Board
,,,-,-,,,00906,,中粮包装,Main Board
,,,-,-,,,01839,,中集车辆,Main Board
,,,-,-,,,06122,,九台农商银行,Main Board
,,,-,-,,,00230,,五矿地产,Main Board
,,,-,-,,,03326,,保发集团,Main Board
,,,-,-,,,01210,,克莉丝汀,Main Board
,,,-,-,,,08170,,全民国际,Main Board
,,,-,-,,,09977,,凤祥股份,Main Board
,,,-,-,,,00102,,凯升控股,Main Board
,,,-,-,,,00226,,力宝,Main Board
,,,-,-,,,00925,,北京建设,Main Board
,,,-,-,,,03296,,华勤技术,Main Board
,,,-,-,,,00982,,华发物业服务,Main Board
,,,-,-,,,08045,,南大苏富特,Main Board
,,,-,-,,,01076,,博华太平洋,Main Board
,,,-,-,,,01706,,双运控股,Main Board
,,,-,-,,,01992,,复星旅游文化,Main Board
,,,-,-,,,06111,,大发地产,Main Board
,,,-,-,,,02117,,大唐集团控股,Main Board
,,,-,-,,,00207,,大悦城地产,Main Board
,,,-,-,,,08476,,大洋环球控股,Main Board
,,,-,-,,,01189,,大湾区聚变力量,Main Board
,,,-,-,,,08353,,安科系统,Main Board
,,,-,-,,,09956,,安能物流,Main Board
,,,-,-,,,01761,,宝宝树集团,Main Board
,,,-,-,,,08151,,宝申控股,Main Board
,,,-,-,,,01034,,富汇国际集团控股,Main Board
,,,-,-,,,03588,,富途控股-W,Main Board
,,,-,-,,,08523,,常满控股,Main Board
,,,-,-,,,00260,,幸福控股,Main Board
,,,-,-,,,09997,,康基医疗,Main Board
,,,-,-,,,00589,,建中建设,Main Board
,,,-,-,,,02019,,德信中国,Main Board
,,,-,-,,,02448,,恒宇集团,Main Board
,,,-,-,,,08405,,恒智控股,Main Board
,,,-,-,,,00011,,恒生银行,Main Board
,,,-,-,,,06116,,拉夏贝尔,Main Board
,,,-,-,,,02115,,捷芯隆,Main Board
,,,-,-,,,08150,,无缝绿色,Main Board
,,,-,-,,,02292,,晋安实业,Main Board
,,,-,-,,,01699,,普甜食品,Main Board
,,,-,-,,,01879,,曦智科技-P,Main Board
,,,-,-,,,08083,,有赞,Main Board
,,,-,-,,,01263,,栢能集团,Main Board
,,,-,-,,,00593,,梦东方,Main Board
,,,-,-,,,01665,,槟杰科达,Main Board
,,,-,-,,,08053,,比优集团,Main Board
