Symbol,Exchange,Industry (Sector),Subgroup (Theme),Sub-industry,Source Symbol,Match Type,ISIN,Company Name,Primary Company Name
20MICRONS.NS,XNSE,METALS & MINING,Industrial Minerals,Industrial Minerals Companies,20MICRONS,primary_local,INE144J01027,20 Microns,20 Microns Limited
21STCENMGM.NS,XNSE,BANKING & FINANCIAL SERVICES,Capital Market Intern.,Other Capital Market related Services Companies,21STCENMGM,primary_local,INE253B01015,21st Cent. Mgmt.,21st Century Management Services Limited
360ONE.NS,XNSE,BANKING & FINANCIAL SERVICES,Capital Market Intern.,Stockbroking & Allied Companies,360ONE,primary_local,INE466L01038,360 ONE,360 ONE WAM LIMITED
3BBLACKBIO.NS,XNSE,Healthcare Segments,Hospitals,Healthcare Service Provider Companies,532067,bse_code,INE994E01018,3B Blackbio,3B Blackbio Dx Limited
3IINFOLTD.NS,XNSE,INFORMATION TECHNOLOGY & TECHNOLOGY,IT Services (Consulting),Computers - Software & Consulting Companies,3IINFOLTD,primary_local,INE748C01038,3i Infotech Limited,3i Infotech Limited
3MINDIA.NS,XNSE,DIVERSIFIED & TRADING,Diversified Conglomerates,Diversified Companies,3MINDIA,primary_local,INE470A01017,3M India,3M India Limited
3PLAND.NS,XNSE,Real Estate Segments,Commercial & Diversified,Real Estate Companies,3PLAND,primary_local,INE105C01023,3P Land Holdings Limited,3P Land Holdings Limited
500002.BO,XBOM,POWER INFRA & ELECTRICALS,Transformers & Switchgears,Heavy Electrical Equipment Companies,ABB,primary_local,INE117A01022,A B B,ABB India Limited
500003.BO,XBOM,"ENERGY, OIL & GAS",Gas Utilities,Trading - Gas Companies,AEGISLOG,primary_local,INE208C01025,Aegis Logistics,Aegis Logistics Limited
500008.BO,XBOM,"ENERGY, OIL & GAS",Smart Energy Storage,Auto Components & Equipments Companies,ARE&M,primary_local,INE885A01032,Amara Raja Ener.,Amara Raja Energy & Mobility Limited
500013.BO,XBOM,Real Estate Segments,Commercial & Diversified,Real Estate Companies,ANSALAPI,bse_security_id,INE436A01026,Ansal Properties & Infrastructure Limited,Ansal Properties & Infrastructure Ltd.
500014.BO,XBOM,METALS & MINING,Copper & Specialty Metallurgy,Precious Metals Companies,500014,primary_local,INE096A01010,Utique Enterp.,UTIQUE ENTERPRISES LIMITED
500020.BO,XBOM,Lifestyle & Retail,Home Textiles & Furnish,Other Textile Products Companies,BOMDYEING,primary_local,INE032A01023,Bombay Dyeing,Bombay Dyeing & Mfg Company Limited
500023.BO,XBOM,TRAVEL & HOSPITALITY,Premium Hotels & Resorts,Hotels & Resorts Companies,ASIANHOTNR,primary_local,INE363A01022,Asian Hotels (N),Asian Hotels (North) Limited
500027.BO,XBOM,CHEMICALS & POLYMERS,Speciality Chemicals,Specialty Chemicals Companies,ATUL,primary_local,INE100A01010,Atul,Atul Limited
500031.BO,XBOM,Consumer Durables,Household White Goods,Household Appliances Companies,BAJAJELEC,primary_local,INE193E01025,Bajaj Electrical,Bajaj Electricals Limited
500032.BO,XBOM,Food & Beverages,Sugar,Sugar Companies,BAJAJHIND,primary_local,INE306A01021,Bajaj Hindusthan,Bajaj Hindusthan Sugar Limited
