Theme (EN),Theme (Kabutan),TSE 17-Sector,TSE 33-Sector,Symbol,Company Name (EN),Name (Kabutan),Market (EN),Market (Kabutan)
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Air Transportation,9202,ANA HOLDINGS INC.,ＡＮＡＨＤ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Air Transportation,9202,ANA HOLDINGS INC. (shares of preferred stock),ＡＮＡＨＤ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,6030,"Adventure,Inc.",アドベンチャ,TSE Growth,東Ｇ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,6191,AirTrip Corp.,エアトリ,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,6577,"Bestone.Com Co.,Ltd",ベストワン,TSE Growth,東Ｇ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Land Transportation,9022,Central Japan Railway Company,ＪＲ東海,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,9376,"EURASIA TRAVEL Co.,Ltd.",ユーラシア,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Land Transportation,9020,East Japan Railway Company,ＪＲ東日本,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Information & Communication,3646,"Ekitan & Co.,Ltd.",駅探,TSE Standard,東Ｓ
10-Day Holiday (Golden Week),10連休,TRANSPORTATION & LOGISTICS,Land Transportation,9010,"FUJI KYUKO CO.,LTD.",富士急,TSE Prime,東Ｐ
10-Day Holiday (Golden Week),10連休,"IT & SERVICES, OTHERS",Services,9603,"H.I.S.Co.,Ltd.",ＨＩＳ,TSE Prime,東Ｐ
