symbol,name
5E2.SI,Seatrium
9CI.SI,CapitaLand Investment
BN4.SI,Keppel
BS6.SI,Yangzijiang Shipbuilding
C07.SI,Jardine Cycle & Carriage
C09.SI,City Developments
C52.SI,ComfortDelGro
C6L.SI,Singapore Airlines
D01.SI,DFI Retail Group
D05.SI,DBS Group Holdings
F34.SI,Wilmar International
G13.SI,Genting Singapore
H78.SI,Hongkong Land Holdings
J36.SI,Jardine Matheson Holdings
O39.SI,Oversea-Chinese Banking Corporation
S58.SI,SATS
S63.SI,Singapore Technologies Engineering
U11.SI,United Overseas Bank
U96.SI,Sembcorp Industries
V03.SI,Venture Corporation
Y92.SI,Thai Beverage
Z74.SI,Singapore Telecommunications
