Industry (EN),Industry (CN),Industry Code,Theme (EN),Theme (CN),Symbol,Name (EN),Name (CN),Market
,,nan,,,,,,TPEx
,,91,,,911608,BH Global,明輝-DR,TWSE
,,91,,,9105,CCET,泰金寶-DR,TWSE
,,91,,,910861,DCH,神州-DR,TWSE
,,91,,,9136,Ju Teng,巨騰-DR,TWSE
,,91,,,9103,MEDTECS,美德醫療-DR,TWSE
,,91,,,911868,Neo-Neon,同方友友-DR,TWSE
,,91,,,912000,SIM TECH,晨訊科-DR,TWSE
,,91,,,911622,TYCN,泰聚亨-DR,TWSE
,,91,,,910322,Tingyi,康師傅-DR,TWSE
,,91,,,9110,VMEP Holdings,越南控-DR,TWSE
Automobile,汽車工業,12,,,2241,Amulaire,艾姆勒,TWSE
Automobile,汽車工業,12,,,1587,CM,吉茂,TWSE
Automobile,汽車工業,12,,,2204,CMC,中華,TWSE
Automobile,汽車工業,12,,,2254,COPLUS,巨鎧精密-創,TWSE
Automobile,汽車工業,12,,,2231,CUB,為升,TWSE
Automobile,汽車工業,12,,,2239,Cayman Engley,英利-KY,TWSE
Automobile,汽車工業,12,,,6605,DEPO,帝寶,TWSE
Automobile,汽車工業,12,,,2497,E-LEAD,怡利電,TWSE
Automobile,汽車工業,12,,,3717,EOI Holding,聯嘉投控,TWSE
Automobile,汽車工業,12,,,2258,Foxtron,鴻華先進-創,TWSE
Automobile,汽車工業,12,,,4551,GLOBAL PMX,智伸科,TWSE
Automobile,汽車工業,12,,,1524,GORDON,耿鼎,TWSE
Automobile,汽車工業,12,,,1536,HOTA,和大,TWSE
Automobile,汽車工業,12,,,2207,HOTAI MOTOR,和泰車,TWSE
Automobile,汽車工業,12,,,2243,HS,宏旭-KY,TWSE
Automobile,汽車工業,12,,,7736,HUSHAN,虎山,TWSE
Automobile,汽車工業,12,,,1338,Hiroca,廣華-KY,TWSE
Automobile,汽車工業,12,,,2250,IKKA-KY,IKKA-KY,TWSE
Automobile,汽車工業,12,,,2228,IRF,劍麟,TWSE
Automobile,汽車工業,12,,,1512,JL,瑞利,TWSE
Automobile,汽車工業,12,,,7732,KING SHING,金興精密,TWSE
Automobile,汽車工業,12,,,1525,KSC,江申,TWSE
Automobile,汽車工業,12,,,2115,LU HAI,六暉-KY,TWSE
Automobile,汽車工業,12,,,3346,Laster Tech,麗清,TWSE
Automobile,汽車工業,12,,,1533,MORE,車王電,TWSE
Automobile,汽車工業,12,,,2247,PGUM,汎德永業,TWSE
Automobile,汽車工業,12,,,2236,Patec,百達-KY,TWSE
Automobile,汽車工業,12,,,1563,SAI,巧新,TWSE
Automobile,汽車工業,12,,,2206,SYM,三陽工業,TWSE
Automobile,汽車工業,12,,,4569,Sixxon,六方科-KY,TWSE
Automobile,汽車工業,12,,,1568,T.Y.,倉佑,TWSE
Automobile,汽車工業,12,,,1521,TA YIH,大億,TWSE
Automobile,汽車工業,12,,,2233,TURVO,宇隆,TWSE
Automobile,汽車工業,12,,,1522,TYC,堤維西,TWSE
Automobile,汽車工業,12,,,1319,TYG,東陽,TWSE
Automobile,汽車工業,12,,,6988,WELLYSUN,威力暘-創,TWSE
Automobile,汽車工業,12,,,4581,WKG,光隆精密-KY,TWSE
Automobile,汽車工業,12,,,1339,Y.C.C.,昭輝,TWSE
Automobile,汽車工業,12,,,2201,YL,裕隆,TWSE
Automobile,汽車工業,12,,,2227,YNM,裕日車,TWSE
Automobile,汽車工業,12,,,4557,Yusin,永新-KY,TWSE
Automobile,汽車工業,12,,,2248,eLAND,華勝-KY,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6918,A Plus Biotech,愛派司,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4148,ACBT,全宇生技-KY,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4142,ADIM,國光生,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4133,Abnova,亞諾法,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1733,ApexBio,五鼎,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6598,Applied BioCode,ABC-KY,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4737,BIONIME,華廣,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6955,BONRAYBIO,邦睿生技-創,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6885,BRIM,全福生技,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6472,Bora,保瑞,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1762,CCSB,中化生,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6534,CHBIO,正瀚-創,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4164,CHC,承業醫,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4137,CHLITINA-KY,麗豐-KY,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6919,Caliway,康霈*,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,3716,Cenra Inc.,中化控股,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6657,ENERGENESIS,華安,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4104,EXCELSIOR 　,佳醫,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6589,EirGenix,台康生技,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4746,FRMSL,台耀,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6838,FRMSP,台新藥,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1707,GKB,葡萄王,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,3164,GenMont　,景岳,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6934,HCMED,心誠鎂,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,7799,HNMC,禾榮科,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6861,INCX,睿生光電,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4190,JDS,佐登-KY,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6645,KIM FOREST,金萬林-創,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6431,KL,光麗-KY,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6666,LLF-KY,羅麗芬-KY,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1795,Lotus Pharm,美時,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1783,MBI,和康生,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1731,Maywufa,美吾華,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6796,MiiS,晉弘,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1752,NANG KUANG　　,南光,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4155,OK BIOTECH,訊映,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1760,PBF,寶齡富錦,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6446,PEC,藥華藥,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6491,PEGAVISION,晶碩,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6949,PELL BMT,沛爾生醫-創,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6550,PG,北極星藥業-KY,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4108,PhytoHealth,懷特,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6931,Qing Song,青松健康,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1720,S.C.P.C,生達,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4119,SCI,旭富,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1734,SINPHAR　,杏輝,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1789,SPT,神隆,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,1786,SVBI,科妍,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4169,TCM,泰宗,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4736,TaiDoc,泰博,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6541,Tanvex,泰福-KY,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6794,UnicoCell,向榮生技,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4771,VF,望隼,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6782,VISCO,視陽,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,6936,Vetnostrum,永鴻生技,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,4106,WELLELL,雃博,TWSE
Biotechnology & Medical Care,生技醫療業,22,,,3705,Y.S.H.,永信,TWSE
Building Materials & Construction,建材營造,14,,,1442,ADVANCETEK,名軒,TWSE
Building Materials & Construction,建材營造,14,,,3052,APEX,夆典,TWSE
Building Materials & Construction,建材營造,14,,,1439,ASCENT,雋揚,TWSE
Building Materials & Construction,建材營造,14,,,2515,BES,中工,TWSE
Building Materials & Construction,建材營造,14,,,1805,BLG,寶徠,TWSE
Building Materials & Construction,建材營造,14,,,2501,CATHAY RED,國建,TWSE
Building Materials & Construction,建材營造,14,,,2509,CHAINQUI,全坤建,TWSE
Building Materials & Construction,建材營造,14,,,3703,CHC,欣陸,TWSE
Building Materials & Construction,建材營造,14,,,5515,CHIEN KUO 　　,建國,TWSE
Building Materials & Construction,建材營造,14,,,5534,CHONG HONG,長虹,TWSE
Building Materials & Construction,建材營造,14,,,2528,CROWELL,皇普,TWSE
Building Materials & Construction,建材營造,14,,,2535,DA-CIN,達欣工,TWSE
Building Materials & Construction,建材營造,14,,,6177,"DA-LI CO.,LTD.",達麗,TWSE
Building Materials & Construction,建材營造,14,,,2530,DELPHA,華建,TWSE
Building Materials & Construction,建材營造,14,,,5533,FOUNDING　　,皇鼎,TWSE
Building Materials & Construction,建材營造,14,,,5522,Farglory,遠雄,TWSE
Building Materials & Construction,建材營造,14,,,3056,Fu Hua,富華新,TWSE
Building Materials & Construction,建材營造,14,,,2504,GBM,國產,TWSE
Building Materials & Construction,建材營造,14,,,2534,HSC,宏盛,TWSE
Building Materials & Construction,建材營造,14,,,9906,HSIN BA BA,欣巴巴,TWSE
Building Materials & Construction,建材營造,14,,,1436,HUA YU LIEN,華友聯,TWSE
Building Materials & Construction,建材營造,14,,,2548,HUAKU　　,華固,TWSE
